preperation_level,study_hours,sleep_hours,revision_frequency,exam_stress_level,performance_scores
1,10,19,7,5,93.9864273409351
3,16,3,5,4,85.41808676214625
1,22,6,7,4,88.09969423181502
2,1,19,4,3,68.30080507877322
2,10,14,3,1,96.54060856807567
1,24,24,6,5,62.636198912914395
2,9,4,2,5,61.20618753961753
2,9,18,2,5,78.71026066113369
3,7,13,7,2,95.59887208996794
2,9,3,3,2,53.6997700358096
3,18,13,6,4,100.0
2,17,8,2,4,88.26904593790942
1,5,5,4,3,54.02940169870254
2,8,21,1,2,75.79439821253688
3,16,4,5,1,94.52363607908889
2,4,2,5,1,45.76225219222076
3,8,5,5,3,73.1975395703347
1,13,19,1,4,90.47804305819818
2,9,18,2,3,89.43952948415144
2,14,4,3,5,76.65104954773791
3,20,8,5,1,100.0
1,8,5,4,5,53.11044910118824
3,17,13,3,4,100.0
2,8,17,3,5,82.14635732688184
3,16,9,6,2,100.0
1,15,1,1,2,58.55433077197223
3,6,12,7,3,95.03360305848705
2,14,10,7,2,100.0
3,22,14,5,5,100.0
2,20,18,7,5,100.0
3,11,2,6,2,81.8102652222904
2,2,3,4,2,40.41812798684279
2,22,4,1,1,64.66417289175423
3,13,8,2,3,91.44005454511105
1,22,21,6,3,99.51936744251752
3,15,13,6,2,100.0
2,5,6,3,1,48.724289163883746
3,12,14,2,5,98.18257730641233
2,5,2,7,3,52.956918054093585
1,23,8,5,3,74.55855257594983
1,20,17,7,2,100.0
3,7,9,3,4,75.86125576191678
1,10,14,7,4,100.0
2,19,17,3,3,100.0
3,17,9,7,1,100.0
2,1,13,4,4,62.02752363950065
2,9,3,7,4,75.25076125854723
3,24,23,2,4,72.56653724725051
3,12,19,5,3,100.0
3,5,9,1,2,55.23578431495704
3,15,10,2,3,97.64852994499581
1,9,9,1,4,60.759367438406244
1,14,13,2,1,93.52682870751528
2,8,19,2,3,76.06976712015336
3,12,11,1,3,93.00850726851722
3,20,5,6,3,94.5306101175599
1,6,17,6,1,87.07682534116718
1,2,14,1,1,52.685323144373996
3,6,18,2,1,81.06255227659227
2,3,4,3,2,40.863879875645445
1,21,4,1,2,64.11963368883835
2,13,4,3,2,76.84733575529681
2,5,6,7,3,70.60520333723093
3,2,8,4,1,57.463272839098764
2,19,1,5,2,80.60689708114197
2,12,12,3,4,96.31038770704426
1,4,24,2,4,31.733862685008695
2,1,2,6,1,39.65840126057137
2,13,15,2,2,98.78405047435666
1,16,11,3,4,94.63073049738462
3,24,14,2,3,90.04300566152874
